사가랴가	zachariah
사울	shaol
스불론	zebulun
가인과	cain
히스기야는	hezekiah
바드로바	
신앙에	drusilla
이사야의	esaias
failed to convert "남쪽으로": translation failed
죽음과	sheol
오네시모를	onesimus
failed to convert "7년": translation failed
무라에	myra
failed to convert "뵈닉스에": translation failed
아브라함의	abrahams
에라스도는	
브올의	beor
노아	noah
이사야의	esaias
5법관	dionysius
헤로디온에게	herodion
제우스	
세라를	
살렘	salim
failed to convert "4세례를": translation failed
두기고를	
베냐민	benjamin
주	
	
갈릴리	galil
나라들	magog
이스라엘	isroel
그리스로	meshiha
에바브라가	
알렉산더가	alexandria
지방의	tetrarch
엘리야가	elias
광장과	appius
겨울이	eubulus
야이로라는	
살렘	salim
여신도가	tabitha
사라는	
디모데는	timotheos
드루보사에게	
가나에서	cana
도마	
디매오의	timaeus
루시아가	
베레스의	
갑바도기아	cappadocia
소시바더가	lucius
데살로니가	
스룹바벨은	zerubbabel
로마에	
기생	rahab
failed to convert "동역자들과": translation failed
수산나	shushan
베스도는	
failed to convert "외눈으로": translation failed
네레오와	nereus
사모에	samos
스룹바벨은	zerubbabel
이었습니다	
삼손	samson
발락에게	balak
사탄이	satana
더베와	lycaonia
브루기아	
글로바라는	clopas
유대인	jihudoya
	
브리스길라와	priscilla
디모데	secundus
아비야는	
거라사	gadarenes
라오디게아	laodicea
가브리엘이다	gabriel
살모네	cnidus
에슬리의	esli
해골터’로	golgotha
유대	
메어다가	sapphira
맛다디아	mattathias
아소도에	azotus
유다	
소돔과	gomorrah
이고니온에서	iconium
요시야는	josiah
루스드라와	
에베소	ephesos
사울	shaol
스데반의	stephen
알렉산드리아	alexandria
유대	
아레다왕의	aretas
아모스	amos
failed to convert "남쪽": translation failed
셈의	arphaxad
디오드레베가	
failed to convert "키프러스": translation failed
바빌론에	babylon
엘리사벳은	elisabeth
율리아	julia
여신	artemis
아셀	asher
예수님은	yeshua
요셉은	joseph
나손은	nahshon
에벨의	eber
아나니아가	ananias
유다가	
가이오	gaius
시리아	
글라우디오	claudia
실라와	athens
라헬이	rachel
애논에서	aenon
미가엘이	michael
겟세마네라는	gethsemane
보았기	trophimus
주님께로	sharon
failed to convert "설계하여": translation failed
말이었습니다	euphrates
압비아와	apphia
바대	parthia
failed to convert "멜기세덱의": translation failed
올름바	olympas
failed to convert "에배네도에게": translation failed
셋의	enosh
바로의	
메디아	medes
시므온	simeon
보면	job
아리마대	arimathea
구아도가	quartus
이새의	jesse
유두고라는	
아시아	
다말에게서	zerah
야고보와	
페니키아와	phoenicia
야곱과	jacob
그리스도가	meshiha
서머나	smyrna
당하던	antipas
누가도	luke
에브라임이라는	ephraim
